"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"SWMS 210","SWMS 210gmw Social Analysis of Gender","Multidisciplinary survey of gender assumptions in relation to sexuality , mental health , social and political relations , and artistic expression .","","","POSC 210;PSYC 210","","",""
"SWMS 212","SWMS 212gp Studies in Gender and Sexuality : An Introduction","Examination of how gender and sexuality have been constructed , experienced , and legislated .","","","","","",""
"SWMS 215","SWMS 215gp Gender Conflict across Cultural Contexts","Identification and examination of social and cultural conflicts through the lens of gender , and comparison of such conflicts across cultures , regions , and historical periods .","","","","","",""
"SWMS 301","SWMS 301gm Feminist Theory : An Introduction","Theories of feminism ; historical , social and cultural perspectives of the women’s movement in America , Europe , and in developing countries ; men’s roles in the feminist movement .","","","","","",""
"SWMS 311","Gender Studies and the Community : Internship","A combination of internships in the community and an intensive seminar on the relationship of the students in the academic community with the larger urban community of which it is a part .","","","","","",""
"SWMS 410","Senior Seminar in Gender Studies","Study of a selected problem , period , or theme in the study of women and men in society by integrating perspectives from cross-cultural and interdisciplinary studies .","","","","","",""
"ECON 203","ECON 203g Principles of Microeconomics","Behavior of firms and consumers , functions of the price system , competition and monopoly , labor markets , poverty , government regulation , international trade , and the environment .","","","","","",""
"MATH 114","MATH 114x Foundations of Statistics","An introduction to the basic tools of statistics . Descriptive statistics ; probability ; expected value ; normal approximation sampling ; chance models ; tests of significance .","","MATH 040","","","","udc00167/0.4165;udc00121/0.353;csr00849/0.326;csr01568/0.326"
"ARCH 203","Visualizing and Experiencing the Built Environment","Methods for direct observation and recording of the directly experienced built environment through drawing , diagramming , photographing , and writing . Course includes exercises and field experience .","","","","","",""
"ARCH 303","Principles of Spatial Design I","Introduction to design principles and processes ; sequence of exercises emphasizing development of basic skills , ideas , and techniques used in the creation of simplified urban space design projects . ","ARCH 203","","","","","csr00861/0.3595;csr00884/0.3595;csr02017/0.306"
"ARCH 403","Principles of Spatial Design II","Emphasis on developing advanced urban spatial design solutions set within contemporary urban conditions , with a particular emphasis on ecology , public space , neighborhoods and districts . ","ARCH 303","","","","",""
"PPD 227","Urban Planning and Development","Gateway to BS , Public Policy , Management and Planning and minor in Planning and Development . City building and development process ; who plans , politics of planning and development ; major topics include land use , fiscal policy , transportation , sustainability , and economic development .","","","","","",""
"RED 417","RED 417 History of Planning and Development","Historical evolution of planning and development . How changing modes of planning and development have shaped the built landscape throughout the century . ","PPD 227;PPD 245","","","","PPD 417",""
"RED 425","RED 425 Designing Livable Communities","Theories and concepts of livable communities and good city form ; case studies of historical and current best practices ; field visits ; collaborative design project . ","PPD 227;PPD 245","","","","PPD 425",""
"SOCI 314","SOCI 314Lg Analyzing Social Statistics","Sociological measurement , univariate description , elementary correlation , introduction to statistical inference .","","","","","",""
"SSCI 201","SSCI 201 Principles of GeoDesign","Foundations of geodesign combining place-making , design , collective action , and the science of location-based information to improve human interaction with the functioning of the Earth .","","","","","","csr01336/0.31"
"SSCI 412","SSCI 412L GeoDesign Practicum","Application of design concepts , planning protocols and spatial analysis skills to a complex planning or design problem sponsored by a local public , private or not-for-profit client in a studio setting . ","ARCH 403;PPD 425;SOCI 314;SSCI 483","","","","","csr01336/0.3035"
"ARCH 306","ARCH 306m Shelter","Investigation of issues , processes , and roles of individuals , groups and communities in relation to present and future shelter needs and aspirations .","","","","","",""
"ARCH 447","ARCH 447 Ecological Factors in Design","Lectures , laboratory exercises and field trips introduce basic knowledge of incorporating ecological factors in urban design and interaction of landscape science with the human environment .","","","","","ARCH 361",""
"ENST 323","Politics of Global Environment","(Enroll in IR 323 )","","","","","",""
"ENST 345","Conservation of Natural Resources","(Enroll in GEOG 345 )","","","","","",""
"POSC 363","Cities and Regions in World Politics","Cities and the rise of states ; globalization and localization ; federalism and decentralization ; comparative politics of urban regions in developed and developing countries .","","","","","",""
"PPD 361","PPD 361 Sustainable Communities , Policy and Planning","Policy and planning as shaped by sustainability theories ; sustainability indicators ; topics include water resources , air quality , land use regulations , environmental design , carrying capacity , ecological footprint analysis . ","","","","","PPD 461","csr00672/0.33099999999999996;csr00770/0.33099999999999996"
